split,risk_budget,method,seed,rows,coverage,accepted_success,accepted_tracking_error,accepted_safety,accepted_asymmetry_error,accepted_utility,mean_risk_score
combined_hard_shift,0.05,control_barrier_fault_tolerant_mpc,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39754
combined_hard_shift,0.05,control_barrier_fault_tolerant_mpc,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40084
combined_hard_shift,0.05,control_barrier_fault_tolerant_mpc,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38720
combined_hard_shift,0.05,control_barrier_fault_tolerant_mpc,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39850
combined_hard_shift,0.05,control_barrier_fault_tolerant_mpc,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41523
combined_hard_shift,0.05,control_barrier_fault_tolerant_mpc,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41647
combined_hard_shift,0.05,control_barrier_fault_tolerant_mpc,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39786
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32885
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33519
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32298
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32435
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35521
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33222
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30297
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36243
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36297
combined_hard_shift,0.05,latent_asymmetry_belief_policy_v5,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34760
combined_hard_shift,0.05,online_system_id,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33250
combined_hard_shift,0.05,online_system_id,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33172
combined_hard_shift,0.05,online_system_id,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33478
combined_hard_shift,0.05,online_system_id,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31778
combined_hard_shift,0.05,online_system_id,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35517
combined_hard_shift,0.05,online_system_id,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35626
combined_hard_shift,0.05,online_system_id,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33717
combined_hard_shift,0.05,online_system_id,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35447
combined_hard_shift,0.05,online_system_id,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36126
combined_hard_shift,0.05,online_system_id,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34398
combined_hard_shift,0.05,oracle_asymmetry_state,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33216
combined_hard_shift,0.05,oracle_asymmetry_state,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32675
combined_hard_shift,0.05,oracle_asymmetry_state,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33982
combined_hard_shift,0.05,oracle_asymmetry_state,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29879
combined_hard_shift,0.05,oracle_asymmetry_state,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35963
combined_hard_shift,0.05,oracle_asymmetry_state,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33918
combined_hard_shift,0.05,oracle_asymmetry_state,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32148
combined_hard_shift,0.05,oracle_asymmetry_state,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33179
combined_hard_shift,0.05,oracle_asymmetry_state,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34456
combined_hard_shift,0.05,oracle_asymmetry_state,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32764
combined_hard_shift,0.05,robust_l1_adaptive_control,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35198
combined_hard_shift,0.05,robust_l1_adaptive_control,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36055
combined_hard_shift,0.05,robust_l1_adaptive_control,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34183
combined_hard_shift,0.05,robust_l1_adaptive_control,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37724
combined_hard_shift,0.05,robust_l1_adaptive_control,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40189
combined_hard_shift,0.05,robust_l1_adaptive_control,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35788
combined_hard_shift,0.05,robust_l1_adaptive_control,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36398
combined_hard_shift,0.05,robust_l1_adaptive_control,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37607
combined_hard_shift,0.05,robust_l1_adaptive_control,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36173
combined_hard_shift,0.05,robust_l1_adaptive_control,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38150
combined_hard_shift,0.05,unscented_kalman_fault_observer,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33790
combined_hard_shift,0.05,unscented_kalman_fault_observer,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33241
combined_hard_shift,0.05,unscented_kalman_fault_observer,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32740
combined_hard_shift,0.05,unscented_kalman_fault_observer,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35362
combined_hard_shift,0.05,unscented_kalman_fault_observer,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35403
combined_hard_shift,0.05,unscented_kalman_fault_observer,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33049
combined_hard_shift,0.05,unscented_kalman_fault_observer,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31902
combined_hard_shift,0.05,unscented_kalman_fault_observer,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34605
combined_hard_shift,0.05,unscented_kalman_fault_observer,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36030
combined_hard_shift,0.05,unscented_kalman_fault_observer,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33047
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44345
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40073
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38474
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39754
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40084
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38720
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39850
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41523
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41647
combined_hard_shift,0.08,control_barrier_fault_tolerant_mpc,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39786
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32885
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33519
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32298
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32435
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35521
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33222
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30297
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36243
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36297
combined_hard_shift,0.08,latent_asymmetry_belief_policy_v5,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34760
combined_hard_shift,0.08,online_system_id,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33250
combined_hard_shift,0.08,online_system_id,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33172
combined_hard_shift,0.08,online_system_id,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33478
combined_hard_shift,0.08,online_system_id,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31778
combined_hard_shift,0.08,online_system_id,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35517
combined_hard_shift,0.08,online_system_id,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35626
combined_hard_shift,0.08,online_system_id,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33717
combined_hard_shift,0.08,online_system_id,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35447
combined_hard_shift,0.08,online_system_id,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36126
combined_hard_shift,0.08,online_system_id,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34398
combined_hard_shift,0.08,oracle_asymmetry_state,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33216
combined_hard_shift,0.08,oracle_asymmetry_state,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32675
combined_hard_shift,0.08,oracle_asymmetry_state,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33982
combined_hard_shift,0.08,oracle_asymmetry_state,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.29879
combined_hard_shift,0.08,oracle_asymmetry_state,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35963
combined_hard_shift,0.08,oracle_asymmetry_state,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33918
combined_hard_shift,0.08,oracle_asymmetry_state,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32148
combined_hard_shift,0.08,oracle_asymmetry_state,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33179
combined_hard_shift,0.08,oracle_asymmetry_state,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34456
combined_hard_shift,0.08,oracle_asymmetry_state,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32764
combined_hard_shift,0.08,robust_l1_adaptive_control,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35198
combined_hard_shift,0.08,robust_l1_adaptive_control,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36055
combined_hard_shift,0.08,robust_l1_adaptive_control,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34183
combined_hard_shift,0.08,robust_l1_adaptive_control,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37724
combined_hard_shift,0.08,robust_l1_adaptive_control,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40189
combined_hard_shift,0.08,robust_l1_adaptive_control,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35788
combined_hard_shift,0.08,robust_l1_adaptive_control,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36398
combined_hard_shift,0.08,robust_l1_adaptive_control,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37607
combined_hard_shift,0.08,robust_l1_adaptive_control,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36173
combined_hard_shift,0.08,robust_l1_adaptive_control,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38150
combined_hard_shift,0.08,unscented_kalman_fault_observer,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33790
combined_hard_shift,0.08,unscented_kalman_fault_observer,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33241
combined_hard_shift,0.08,unscented_kalman_fault_observer,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32740
combined_hard_shift,0.08,unscented_kalman_fault_observer,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35362
combined_hard_shift,0.08,unscented_kalman_fault_observer,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35403
combined_hard_shift,0.08,unscented_kalman_fault_observer,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33049
combined_hard_shift,0.08,unscented_kalman_fault_observer,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31902
combined_hard_shift,0.08,unscented_kalman_fault_observer,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34605
combined_hard_shift,0.08,unscented_kalman_fault_observer,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36030
combined_hard_shift,0.08,unscented_kalman_fault_observer,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33047
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.44345
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40073
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38474
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39754
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.40084
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.38720
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39850
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41523
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.41647
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39786
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32885
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33519
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32298
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32435
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35521
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33222
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.30297
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36243
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36297
combined_hard_shift,0.10,latent_asymmetry_belief_policy_v5,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34760
combined_hard_shift,0.10,online_system_id,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33250
combined_hard_shift,0.10,online_system_id,1,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33172
combined_hard_shift,0.10,online_system_id,2,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33478
combined_hard_shift,0.10,online_system_id,3,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31778
combined_hard_shift,0.10,online_system_id,4,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35517
combined_hard_shift,0.10,online_system_id,5,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35626
combined_hard_shift,0.10,online_system_id,6,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33717
combined_hard_shift,0.10,online_system_id,7,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35447
combined_hard_shift,0.10,online_system_id,8,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36126
combined_hard_shift,0.10,online_system_id,9,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.34398
combined_hard_shift,0.10,oracle_asymmetry_state,0,144,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.33216
