split,risk_budget,reference,metric,mean_diff,ci95_diff,lower95_diff,upper95_diff,seeds
combined_hard_shift,0.08,unscented_kalman_fault_observer,coverage,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,unscented_kalman_fault_observer,accepted_success,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,unscented_kalman_fault_observer,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,unscented_kalman_fault_observer,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.08,unscented_kalman_fault_observer,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,coverage,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,accepted_success,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,control_barrier_fault_tolerant_mpc,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,online_system_id,coverage,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,online_system_id,accepted_success,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,online_system_id,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,online_system_id,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,online_system_id,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,oracle_asymmetry_state,coverage,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,oracle_asymmetry_state,accepted_success,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,oracle_asymmetry_state,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,oracle_asymmetry_state,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,oracle_asymmetry_state,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,robust_l1_adaptive_control,coverage,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,robust_l1_adaptive_control,accepted_success,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,robust_l1_adaptive_control,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,robust_l1_adaptive_control,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,robust_l1_adaptive_control,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,unscented_kalman_fault_observer,coverage,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,unscented_kalman_fault_observer,accepted_success,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,unscented_kalman_fault_observer,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,unscented_kalman_fault_observer,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
combined_hard_shift,0.10,unscented_kalman_fault_observer,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,control_barrier_fault_tolerant_mpc,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,control_barrier_fault_tolerant_mpc,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,control_barrier_fault_tolerant_mpc,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,control_barrier_fault_tolerant_mpc,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,control_barrier_fault_tolerant_mpc,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,online_system_id,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,online_system_id,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,online_system_id,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,online_system_id,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,online_system_id,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,oracle_asymmetry_state,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,oracle_asymmetry_state,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,oracle_asymmetry_state,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,oracle_asymmetry_state,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,oracle_asymmetry_state,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,robust_l1_adaptive_control,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,robust_l1_adaptive_control,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,robust_l1_adaptive_control,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,robust_l1_adaptive_control,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,robust_l1_adaptive_control,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,unscented_kalman_fault_observer,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,unscented_kalman_fault_observer,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,unscented_kalman_fault_observer,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,unscented_kalman_fault_observer,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.02,unscented_kalman_fault_observer,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,control_barrier_fault_tolerant_mpc,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,control_barrier_fault_tolerant_mpc,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,control_barrier_fault_tolerant_mpc,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,control_barrier_fault_tolerant_mpc,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,control_barrier_fault_tolerant_mpc,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,online_system_id,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,online_system_id,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,online_system_id,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,online_system_id,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,online_system_id,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,oracle_asymmetry_state,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,oracle_asymmetry_state,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,oracle_asymmetry_state,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,oracle_asymmetry_state,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,oracle_asymmetry_state,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,robust_l1_adaptive_control,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,robust_l1_adaptive_control,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,robust_l1_adaptive_control,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,robust_l1_adaptive_control,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,robust_l1_adaptive_control,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,unscented_kalman_fault_observer,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,unscented_kalman_fault_observer,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,unscented_kalman_fault_observer,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,unscented_kalman_fault_observer,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.05,unscented_kalman_fault_observer,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,control_barrier_fault_tolerant_mpc,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,control_barrier_fault_tolerant_mpc,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,control_barrier_fault_tolerant_mpc,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,control_barrier_fault_tolerant_mpc,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,control_barrier_fault_tolerant_mpc,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,online_system_id,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,online_system_id,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,online_system_id,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,online_system_id,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,online_system_id,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,oracle_asymmetry_state,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,oracle_asymmetry_state,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,oracle_asymmetry_state,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,oracle_asymmetry_state,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,oracle_asymmetry_state,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,robust_l1_adaptive_control,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,robust_l1_adaptive_control,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,robust_l1_adaptive_control,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,robust_l1_adaptive_control,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,robust_l1_adaptive_control,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,unscented_kalman_fault_observer,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,unscented_kalman_fault_observer,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,unscented_kalman_fault_observer,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,unscented_kalman_fault_observer,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.08,unscented_kalman_fault_observer,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,control_barrier_fault_tolerant_mpc,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,control_barrier_fault_tolerant_mpc,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,control_barrier_fault_tolerant_mpc,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,control_barrier_fault_tolerant_mpc,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,control_barrier_fault_tolerant_mpc,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,online_system_id,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,online_system_id,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,online_system_id,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,online_system_id,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,online_system_id,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,oracle_asymmetry_state,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,oracle_asymmetry_state,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,oracle_asymmetry_state,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,oracle_asymmetry_state,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,oracle_asymmetry_state,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,robust_l1_adaptive_control,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,robust_l1_adaptive_control,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,robust_l1_adaptive_control,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,robust_l1_adaptive_control,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,robust_l1_adaptive_control,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,unscented_kalman_fault_observer,coverage,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,unscented_kalman_fault_observer,accepted_success,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,unscented_kalman_fault_observer,accepted_tracking_error,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,unscented_kalman_fault_observer,accepted_safety,0.00000,0.00000,0.00000,0.00000,10
payload_contact_shift,0.10,unscented_kalman_fault_observer,accepted_utility,0.00000,0.00000,0.00000,0.00000,10
